Name,Url
신한카드,https://www.shinhancard.com
신한은행,https://www.shinhan.com
신한은행,https://m.shinhan.com
신한은행,https://bank.shinhan.com
신한은행,https://bizbank.shinhan.com
국민카드,https://card.kbcard.com
국민카드,https://m.kbcard.com
국민카드,https://biz.kbcard.com
국민카드,https://mbiz.kbcard.com
국민은행,https://www.kbstar.com
국민은행,https://obiz.kbstar.com
국민은행,https://obank.kbstar.com
삼성카드,https://www.samsungcard.com
농협,https://nonghyup.com
농협은행,https://nhbank.com
농협은행,https://banking.nonghyup.com
농협카드,https://smartcard.nonghyup.com
농협카드,https://card.nonghyup.com
농협카드,https://nhbizcard.nonghyup.com
농협카드,https://m.nhbizcard.nonghyup.com
토스,https://toss.im
토스뱅크,https://www.tossbank.com
하나카드,https://www.hanacard.co.kr
하나카드,https://m.hanacard.co.kr
하나은행,https://www.kebhana.com
하나은행,https://m.kebhana.com
하나은행,https://biz.kebhana.com
우리은행,https://www.wooribank.com
우리은행,https://m.wooribank.com
우리은행,https://spib.wooribank.com
우리은행,https://nbi.wooribank.com
우리은행,https://spot.wooribank.com
우리카드,https://m.wooricard.com
우리카드,https://pc.wooricard.com
IBK기업은행,https://www.ibk.co.kr/
카카오뱅크,https://m.kakaobank.com
카카오뱅크,https://www.kakaobank.com
카카오페이,https://www.kakaopay.com
BC카드,https://www.bccard.com
페이북,https://paybooc.co.kr
한국장학재단,https://www.kosaf.go.kr
