Name,Url
인터넷우체국,https://epost.go.kr
인터넷우체국,https://service.epost.go.kr
인터넷우체국,https://mall.epost.go.kr
인터넷우체국,https://parcel.epost.go.kr
인터넷우체국,https://ems.epost.go.kr
인터넷우체국,https://www.epost.go.kr
인터넷우체국,https://biz.epost.go.kr
CJ 대한통운,https://www.cjlogistics.com
로젠택배,https://www.ilogen.com
합동택배,https://hdexp.co.kr
한진택배,https://www.hanjin.com
롯데글로벌로지스,https://www.lotteglogis.com
천일택배,http://www.chunilps.co.kr
대신택배,https://www.ds3211.co.kr
일양로지스,https://www.ilyanglogis.co.kr
DHL,https://www.dhl.com
DHL,https://www.mydhli.com
DHL,https://mydhl.express.dhl
FedEx,https://www.fedex.com
UPU,https://www.upu.int
EMS,https://www.ems.post
