url,smishing
https://paycore.com,0
https://paycore.io,0
https://paycos.com,0
https://payday.ru,0
https://paydayportal.com,0
https://paydaythegame.com,0
https://paydia.id,0
http://paydiant.com,0
paydirect.io,0
https://paydirekt.de,0
paydock.com,0
paydxm.com,0
payeasy.com.tw,0
https://payeer.com,0
payeezy.com,0
payengine.de,0
https://payentry.com,0
https://payermax.com,0
payetakhtsystem.site,0
https://payever.org,0
https://payex.com,0
payfacto.cloud,0
payfactors.com,0
https://payfare.com,0
payfast.co.za,0
payfast.io,0
https://payfit.com,0
payfit.io,0
payfit.tech,0
https://payflex.co.za,0
payflex.com,0
https://payfone.com,0
https://payfort.com,0
https://paygate.co.za,0
paygateway.com,0
paygent.co.jp,0
https://paygilant.com,0
paygo.com.br,0
paygonline.com,0
https://payhawk.com,0
payhelm.com,0
payhip.com,0
payingsocialmediajobs.com,0
payjoy.com,0
https://payjoytech.com,0
payjunction.com,0
https://payjustnow.com,0
https://paykeeper.ru,0
paykhusha.xyz,0
https://paykickstart.com,0
https://paykstrt.com,0
paykwai.com,0
paylate.com.ua,0
https://paylead.fr,0
https://paylease.com,0
https://payline.com,0
paylink.com.ua,0
payload.biz,0
https://payload.de,0
payloadcms.app,0
https://paylocity.com,0
https://paylogic.com,0
https://paylution.com,0
paylution.net,0
https://paymaxi.com,0
paymaya.com,0
https://payme.uz,0
payment-3ds.com,0
http://payment.digital,0
payment.ru,0
https://paymentauth.com,0
paymentcalculator.app,0
paymentech.com,0
paymentech.net,0
https://paymentexpress.com,0
https://paymentez.com,0
paymentfusion.com,0
paymentiq.io,0
paymentree.ca,0
payments-amazon.com,0
https://paymentsdive.com,0
paymentsense.cloud,0
paymentsgateway.net,0
https://paymentsos.com,0
paymentsson.com,0
http://paymentus.com,0
paymentus.io,0
paymentus.net,0
https://paymentwall.com,0
https://paymentworks.com,0
https://paymentworksuite.com,0
paymerang.com,0
https://paymetric.com,0
https://paymo.ru,0
https://paymoapp.com,0
http://paymobsolutions.com,0
https://paymode.com,0
https://paynearby.in,0
https://paynearme.com,0
https://payneglasses.com,0
https://paynet.my,0
paynicorn.com,0
https://paynimo.com,0
https://paynow.pl,0
https://payolution.com,0
https://payoneer.com,0
payoss-gate.com,0
http://paypal-activate.com,0
http://paypal-cash.com,0
paypal-communication.com,0
https://paypal-community.com,0
paypal-corp.com,0
paypal-haitaopartner.com,0
http://paypal-japan.com,0
paypal-mktg.com,0
https://paypal-status.com,0
https://paypal-survey.com,0
http://paypal-surveys.com,0
https://paypal.cn,0
https://paypal.com,0
https://paypal.com.au,0
https://paypal.de,0
https://paypal.me,0
paypalcorp.com,0
paypalobjects.com,0
paypay-bank.co.jp,0
paypay-card.co.jp,0
https://paypay-sec.co.jp,0
https://payperminute.live,0
paypgnewpay.com,0
https://payping.ir,0
https://payple.kr,0
https://payplug.com,0
https://paypo.pl,0
https://paypoint.com,0
http://paypoint.services,0
https://payproglobal.com,0
https://payprop.com,0
https://payrange.com,0
payrix.com,0
https://payroll-prices.com,0
payroll.co.jp,0
https://payroll.org,0
http://payrollrelief.com,0
https://payrollservers.us,0
payrouter.net,0
https://paysafe.com,0
http://paysafecard.com,0
http://paysafeforbusiness.com,0
http://paysafeknect.com,0
paysafespg.com,0
payscale.com,0
payselection.com,0
https://paysend.com,0
https://paysenger.com,0
paysera.com,0
paysimple.com,0
paysoft.solutions,0
https://payspace.com,0
payspanhealth.com,0
paystack.co,0
paystack.com,0
http://paystar.ir,0
https://paystore.com.br,0
https://payt.com.br,0
https://paytec.ch,0
https://paytef.es,0
payten.com.tr,0
https://payter.nl,0
https://paytheory.com,0
https://paytm.com,0
paytm.in,0
https://paytm.me,0
paytmbank.com,0
paytmdgt.io,0
https://paytmfirstgames.com,0
