url,smishing
http://0-o-1-0-1.lol,0
https://0.sb,0
http://000.pe,0
00005555.cc,0
https://000mqqq.ru,0
000nethost.com,0
000web.xyz,0
000webhost.com,0
000webhostapp.com,0
00117163.xyz,0
001258.xyz,0
001894c4abb7.space,0
0023bffbf050.space,0
0026b04bed62.space,0
003.cx,0
http://0033.com,0
0038.net,0
00387.info,0
00396.shop,0
003ms.ru,0
https://004307.com,0
00462.shop,0
004837963.xyz,0
005e5b1582eb.space,0
005e98126784.space,0
006622.xyz,0
006bet.com,0
007.tools,0
0074484f9e36.space,0
007ac9.net,0
http://007i.net,0
https://0088new.com,0
00a4g.top,0
00bz4dtzb6.cn,0
00coupon.com,0
00hgmaq6yv.com,0
http://00jl777.com,0
00ksw.com,0
https://00px.net,0
00shu.la,0
00xwin.com,0
0101.co.jp,0
0109480.xyz,0
010f3f41ec48.space,0
http://011.com,0
https://011st.com,0
https://012.net,0
012.net.il,0
http://012024jhvjhkozekl.space,0
0123456789nonexistent.com,0
https://0123movie.net,0
https://0123win.com,0
013net.net,0
01587167ecc5.space,0
01766.cc,0
01a8baafd15d.space,0
01amlink.site,0
https://01coin.io,0
01f05b43f6ec.space,0
01gkdjkc1b.com,0
01hklink.site,0
01jplink.site,0
https://01link.hk,0
https://01net.com,0
01transport.com,0
01wing138.monster,0
01zmdbq1pk.cn,0
02.net,0
http://02.pl,0
https://020londoncoin.co.uk,0
http://021-73652.ir,0
https://021.rs,0
021hunbohui.com,0
http://021stream.xyz,0
https://0221.com.ar,0
https://0223.com.ar,0
0226t.top,0
https://023pic3.cc,0
025095442803.space,0
0269652145.com,0
02933d2ff6ac.space,0
02amlink.site,0
https://02es.com,0
02fx5jcyxg.com,0
02hklink.site,0
02jplink.site,0
https://02ws.co.il,0
02xntzy7az.cn,0
https://03032004.com,0
0314730340b1.space,0
03306f4c7c5e.space,0
0349a12fe60a.space,0
https://0352.ua,0
035b7827efb2.space,0
https://037hdmovie.com,0
039vip0.com,0
039vip1.com,0
039vip2.com,0
039vip3.com,0
039vip4.com,0
039vip5.com,0
03af8g2enq.cn,0
03eea1b6dd.com,0
https://03k.org,0
03p4fad6vd.com,0
03s30.com,0
https://04.si,0
040y2.top,0
0440d380200a.space,0
https://048.ua,0
04a0853c5df8.space,0
04ad20229c98.space,0
04cf36250e43.space,0
04fx.net,0
04xvkr9ed1.com,0
https://0506.fun,0
053f3dda5660.space,0
0545c980199d.space,0
0550cq.com,0
0550eed13cd9.space,0
https://056.ua,0
https://057.ua,0
057500.com,0
058c135ab162.space,0
059bet.com,0
05de15a23610.space,0
05fbk1gr2o.cn,0
05green.com,0
05pg9z.com,0
05xuzdqs5j.com,0
https://061.ua,0
0626.lol,0
064215aac4bb.space,0
